12 2
89_income_0.0_percentile -0.045249 0.112612
79_income_0.0_percentile -0.060578 0.011827
69_income_0.0_percentile -0.202250 -0.179745
79_income_33.0_percentile 0.147791 0.233465
69_income_33.0_percentile -0.247358 -0.100674
89_income_33.0_percentile -0.037416 0.095942
89_income_100.0_percentile -0.090264 0.098075
69_income_100.0_percentile -0.157074 -0.076857
89_income_66.0_percentile -0.144490 0.192010
79_income_100.0_percentile -0.042720 0.029806
69_income_66.0_percentile -0.232838 0.086125
79_income_66.0_percentile -0.175528 -0.202069
