Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
12-Aug-13,12-Aug-13,PM,"near Mansouriyah, northeast of Baquba",driver on dirt road,roadside bomb,1,1
12-Aug-13,12-Aug-13,,"Jubail, south Falluja",policeman as he was leaving his home,automatic weapons,1,1
12-Aug-13,12-Aug-13,,"Nazzal, central Falluja",civilian as he was leaving his home,drive-by shooting,1,1
12-Aug-13,12-Aug-13,AM,"Al-Sheikh Hamad, Shirqat","police station, policeman killed",gunfire,1,1
12-Aug-13,12-Aug-13,PM,"Qayyarah, south of Mosul",civilians,gunfire,2,2
12-Aug-13,12-Aug-13,,Muqdadiyah,civilians at football field,roadside bomb,4,4
12-Aug-13,12-Aug-13,AM,Muqdadiyah,school,roadside bomb,1,1
11-Aug-13,11-Aug-13,,Balad,civilians in busy park,gunfire,2,2
11-Aug-13,11-Aug-13,,"Tammoze area, west of Mosul",former senior army officer as he was leaving his home,gunfire,1,1
11-Aug-13,11-Aug-13,PM,"Al-Imam Gharbi, Qayara, south of Mosul",civilian visiting one of his relatives,drive-by shooting,1,1
11-Aug-13,11-Aug-13,AM,west Mosul,civilian killed by federal police as he drove through security checkpoint,gunfire,1,1
11-Aug-13,11-Aug-13,,"Arabi, north of Mosul","army convoy, civilian killed",roadside bomb,1,1
10-Aug-13,11-Aug-13,,"Buhriz, 8 km south of Baquba",Sahwa members at checkpoint,"drive-by shooting, automatic weapons",2,2
11-Aug-13,11-Aug-13,,Diyala Bridge,photographer in his studio,automatic weapons,1,1
11-Aug-13,11-Aug-13,,"Imam Hussein Mosque, Zerg, south of Baghdad",mosque,car bomb,4,4
10-Aug-13,10-Aug-13,,Mosul,,two explosions,8,8
10-Aug-13,10-Aug-13,PM,southeast Falluja,civilians,bomb in car,1,1
10-Aug-13,10-Aug-13,AM,"al-Iza, north Hilla","mayor of al-Nil district Hamid Kazim and his son, attacked by Hamid's brother and two nephews",automatic weapons,2,2
10-Aug-13,10-Aug-13,PM,"Iigelh, east Dijail",police guard who worked at Dijail Court and his wife in their car,gunfire,2,2
10-Aug-13,10-Aug-13,PM,"Izzi, 5 km east of Muqdadiya",police explosives expert,roadside bomb that the victim was trying to defuse,1,1
10-Aug-13,10-Aug-13,PM,Nasiriya,civilians near park and local authority building,two car bombs,6,6
10-Aug-13,10-Aug-13,PM,"Saif Saad, Karbala",civilians near market in Shiite shrine city,one or two car bombs,4,5
10-Aug-13,10-Aug-13,PM,"near Om al-Banen or Qamar Bani Hashem Mosque in Tiseen or Al-Jumhuriya, central Kirkuk","Shiite mosque, engineer from the North Oil Company among those killed",car bomb or suicide car bomb,1,5
10-Aug-13,10-Aug-13,,"near Abdullah al-Jubouri Mosque, 'Asriyah, Babylon",mosque just after Eid prayers,bomb,1,1
10-Aug-13,10-Aug-13,PM,"near Husseiniya al-Thaqlain, Mustafa Agha district, Tuz Khurmatou",police checkpoint and Shiite mosque,suicide car bomb,8,11
10-Aug-13,10-Aug-13,,"Kani Gulani, Duhok","parties in a dispute over real estate; Tammer Ramadan, brother of the governor of Duhok, among those killed",gunfire,3,3
10-Aug-13,10-Aug-13,,"Madain, south Baghdad","Mukhlis Said, guard to Babakir Zebari, Chief of Military Staff",gunfire,0,1
10-Aug-13,10-Aug-13,PM,"Zubeidiyah, 25 km south of Baghdad","families celebrating Eid in a park, children possibly among those killed",roadside bomb,2,2
