150 2
sentence_1 0.140404 0.055280
sentence_34 -0.104894 0.130282
sentence_35 -0.287837 -0.087897
sentence_36 -0.242394 -0.180049
sentence_37 -0.225606 -0.065910
sentence_30 -0.061496 0.018983
sentence_31 -0.035842 0.081354
sentence_32 -0.197718 0.198239
sentence_33 -0.274238 0.101959
sentence_38 -0.112731 0.039243
sentence_39 -0.222905 -0.148055
sentence_110 0.103125 0.244599
sentence_111 -0.107526 0.098793
sentence_112 0.162548 0.204758
sentence_113 0.108716 0.007165
sentence_85 0.189683 0.044258
sentence_84 0.180403 -0.184052
sentence_87 0.235891 0.000632
sentence_117 -0.065152 -0.151324
sentence_89 0.223222 -0.085423
sentence_88 0.129876 0.104098
sentence_18 0.263780 0.110881
sentence_19 -0.060953 0.120161
sentence_16 -0.194226 -0.025628
sentence_17 0.231388 -0.115988
sentence_14 -0.069910 -0.197370
sentence_15 -0.240360 0.088619
sentence_12 -0.165417 -0.099633
sentence_13 -0.000770 -0.217743
sentence_10 -0.011128 -0.148150
sentence_11 0.047848 0.108226
sentence_81 -0.192203 -0.040463
sentence_80 0.089080 -0.032832
sentence_83 -0.214281 0.004486
sentence_82 -0.205615 -0.232721
sentence_114 -0.169592 0.192938
sentence_115 -0.200816 -0.030927
sentence_116 -0.169691 0.165065
sentence_86 0.092662 -0.100061
sentence_118 0.111898 0.173555
sentence_119 -0.262630 0.134124
sentence_69 0.196452 0.068334
sentence_68 0.140591 -0.073301
sentence_63 -0.111355 0.215341
sentence_62 -0.075318 0.256488
sentence_61 0.037144 0.081267
sentence_60 -0.206727 0.233889
sentence_67 -0.022949 0.050225
sentence_66 -0.060419 -0.119460
sentence_65 0.202452 0.040271
sentence_64 -0.252435 0.061354
sentence_96 -0.112183 0.033154
sentence_97 0.170312 -0.067426
sentence_101 -0.193476 -0.247810
sentence_95 -0.237609 0.219984
sentence_92 0.090317 0.250750
sentence_106 -0.188262 -0.174624
sentence_90 0.240548 0.085311
sentence_104 -0.289182 0.131562
sentence_109 0.109969 0.209738
sentence_108 0.036662 -0.181412
sentence_98 -0.251494 -0.228241
sentence_99 -0.252724 -0.119028
sentence_78 0.209308 -0.003479
sentence_79 0.056989 0.160428
sentence_70 -0.150607 -0.118046
sentence_71 0.066710 0.230268
sentence_72 0.053532 -0.251538
sentence_73 0.177238 -0.131852
sentence_74 0.149553 -0.055195
sentence_75 0.180651 0.128150
sentence_76 0.050943 -0.188596
sentence_77 -0.245805 -0.181212
sentence_138 -0.240590 -0.195992
sentence_139 -0.147416 0.101054
sentence_136 -0.006907 -0.230877
sentence_137 -0.234433 0.235896
sentence_134 -0.019920 -0.126149
sentence_135 -0.173080 0.128747
sentence_132 -0.174471 0.061178
sentence_133 0.228460 0.190967
sentence_130 -0.141167 0.014526
sentence_131 0.028783 0.190140
sentence_49 -0.269821 0.011084
sentence_48 0.028634 0.036466
sentence_45 -0.118537 0.235790
sentence_44 -0.016505 -0.062071
sentence_47 -0.017856 0.131372
sentence_46 0.040201 -0.104770
sentence_41 -0.264202 -0.059869
sentence_40 0.016747 -0.141635
sentence_43 0.102080 -0.226819
sentence_42 -0.187030 0.150521
sentence_129 -0.188839 0.093903
sentence_128 -0.008369 0.232007
sentence_121 -0.095802 -0.219245
sentence_120 0.089475 0.153588
sentence_123 0.213392 0.220604
sentence_122 -0.252005 -0.122695
sentence_125 0.044283 0.235559
sentence_124 0.222729 0.039871
sentence_127 0.169477 0.083531
sentence_126 -0.055671 -0.000704
sentence_52 0.018697 0.034608
sentence_53 0.186883 0.216998
sentence_50 -0.063534 0.238906
sentence_51 -0.190956 -0.172503
sentence_56 -0.184236 0.007460
sentence_57 -0.260791 0.232889
sentence_54 0.154055 -0.239880
sentence_55 -0.194415 -0.069355
sentence_58 -0.255975 0.181267
sentence_59 -0.094546 0.234278
sentence_103 0.000702 0.177514
sentence_8 0.130240 0.222322
sentence_9 -0.056399 0.054232
sentence_102 0.084890 -0.109997
sentence_4 -0.013788 0.064597
sentence_5 -0.296586 0.063801
sentence_6 -0.070548 0.170922
sentence_7 -0.115515 0.208224
sentence_0 0.037378 -0.164491
sentence_94 0.167216 0.080812
sentence_2 -0.234117 -0.040246
sentence_3 0.088403 0.207781
sentence_100 -0.268722 0.238053
sentence_107 -0.084738 0.236451
sentence_93 0.057300 0.165892
sentence_105 0.024462 0.058383
sentence_91 -0.073421 0.031083
sentence_27 0.137118 0.164693
sentence_26 0.132128 0.082644
sentence_25 0.184655 -0.091476
sentence_24 0.098560 -0.034226
sentence_23 -0.058649 -0.044448
sentence_22 -0.068746 -0.077373
sentence_21 0.075835 -0.030809
sentence_20 0.244561 0.079848
sentence_29 -0.159665 -0.029829
sentence_28 -0.095523 0.152192
sentence_149 0.177135 0.202206
sentence_148 0.084674 -0.112072
sentence_147 -0.126096 0.180552
sentence_146 0.027342 0.146336
sentence_145 0.062481 0.113661
sentence_144 0.026610 0.125598
sentence_143 0.044253 -0.026249
sentence_142 -0.113309 -0.221363
sentence_141 -0.081582 -0.224795
sentence_140 0.242451 -0.159367
